date,areaName,newCasesByPublishDate,cumCasesByPublishDate,newAdmissions,cumAdmissions,hospitalCases,covidOccupiedMVBeds,newTestsByPublishDate,cumTestsByPublishDate,newDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDateRate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDateRate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
2020-01-03,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-04,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-05,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-06,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-07,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-08,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-09,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-10,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-11,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-12,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-13,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-14,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-15,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-16,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-17,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-18,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-19,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-20,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-21,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-22,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-23,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-24,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-25,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-26,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-27,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-28,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-29,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-30,United Kingdom,0,,,,,,,,0,,,,,,,
2020-01-31,United Kingdom,2,2.0,,,,,,,0,,,,,,,
2020-02-01,United Kingdom,0,2.0,,,,,,,0,,,,,,,
2020-02-02,United Kingdom,0,2.0,,,,,,,0,,,,,,,
2020-02-03,United Kingdom,0,2.0,,,,,,,0,,,,,,,
2020-02-04,United Kingdom,0,2.0,,,,,,,0,,,,,,,
2020-02-05,United Kingdom,0,2.0,,,,,,,0,,,,,,,
2020-02-06,United Kingdom,1,3.0,,,,,,,0,,,,,,,
2020-02-07,United Kingdom,0,3.0,,,,,,,0,,,,,,,
2020-02-08,United Kingdom,0,3.0,,,,,,,0,,,,,,,
2020-02-09,United Kingdom,1,4.0,,,,,,,0,,,,,,,
2020-02-10,United Kingdom,4,8.0,,,,,,,0,,,,,,,
2020-02-11,United Kingdom,0,8.0,,,,,,,0,,,,,,,
2020-02-12,United Kingdom,0,8.0,,,,,,,0,,,,,,,
2020-02-13,United Kingdom,1,9.0,,,,,,,0,,,,,,,
2020-02-14,United Kingdom,0,9.0,,,,,,,0,,,,,,,
2020-02-15,United Kingdom,0,9.0,,,,,,,0,,,,,,,
2020-02-16,United Kingdom,0,9.0,,,,,,,0,,,,,,,
2020-02-17,United Kingdom,0,9.0,,,,,,,0,,,,,,,
2020-02-18,United Kingdom,0,9.0,,,,,,,0,,,,,,,
2020-02-19,United Kingdom,0,9.0,,,,,,,0,,,,,,,
2020-02-20,United Kingdom,0,9.0,,,,,,,0,,,,,,,
2020-02-21,United Kingdom,0,9.0,,,,,,,0,,,,,,,
2020-02-22,United Kingdom,0,9.0,,,,,,,0,,,,,,,
2020-02-23,United Kingdom,0,9.0,,,,,,,0,,,,,,,
2020-02-24,United Kingdom,4,13.0,,,,,,,0,,,,,,,
2020-02-25,United Kingdom,0,13.0,,,,,,,0,,,,,,,
2020-02-26,United Kingdom,0,13.0,,,,,,,0,,,,,,,
2020-02-27,United Kingdom,0,13.0,,,,,,,0,,,,,,,
2020-02-28,United Kingdom,6,19.0,,,,,,,0,,,,,,,
2020-02-29,United Kingdom,4,23.0,,,,,,,0,,,0.0,,,,
2020-03-01,United Kingdom,12,35.0,,,,,,,0,,,0.0,,,,
2020-03-02,United Kingdom,5,40.0,,,,,,,0,,,1.0,1.0,0.0,,
2020-03-03,United Kingdom,11,51.0,,,,,,,0,,,2.0,3.0,0.0,,
2020-03-04,United Kingdom,34,85.0,,,,,,,0,,,0.0,3.0,0.0,,
2020-03-05,United Kingdom,29,114.0,,,,,,,0,,,3.0,6.0,0.0,,
2020-03-06,United Kingdom,46,160.0,,,,,,,1,1.0,0.0,0.0,6.0,0.0,,
2020-03-07,United Kingdom,46,206.0,,,,,,,1,2.0,0.0,0.0,6.0,0.0,,
2020-03-08,United Kingdom,65,271.0,,,,,,,0,2.0,0.0,3.0,9.0,0.0,,
2020-03-09,United Kingdom,50,321.0,,,,,,,1,3.0,0.0,5.0,14.0,0.0,,
2020-03-10,United Kingdom,52,373.0,,,,,,,4,7.0,0.0,3.0,17.0,0.0,,
2020-03-11,United Kingdom,83,456.0,,,,,,,0,7.0,0.0,8.0,25.0,0.0,,
2020-03-12,United Kingdom,134,590.0,,,,,,,2,9.0,0.0,13.0,38.0,0.1,,
2020-03-13,United Kingdom,207,797.0,,,,,,,1,10.0,0.0,16.0,54.0,0.1,,
2020-03-14,United Kingdom,264,1061.0,,,,,,,18,29.0,0.0,22.0,76.0,0.1,,
2020-03-15,United Kingdom,330,1391.0,,,,,,,14,43.0,0.1,32.0,108.0,0.2,,
2020-03-16,United Kingdom,152,1543.0,,,,,,,22,65.0,0.1,46.0,154.0,0.2,,
2020-03-17,United Kingdom,407,1950.0,,,,,,,16,82.0,0.1,52.0,206.0,0.3,,
2020-03-18,United Kingdom,676,2626.0,,,,,,,34,116.0,0.2,68.0,274.0,0.4,,
2020-03-19,United Kingdom,643,3269.0,,,,,,,45,162.0,0.2,74.0,348.0,0.5,,
2020-03-20,United Kingdom,714,3983.0,,,,,,,32,194.0,0.3,109.0,457.0,0.7,,
2020-03-21,United Kingdom,1035,5018.0,,,,,,,58,252.0,0.4,131.0,588.0,0.9,,
2020-03-22,United Kingdom,665,5683.0,,,,,,,36,288.0,0.4,165.0,753.0,1.1,,
2020-03-23,United Kingdom,967,6650.0,1272.0,4874.0,,,,,76,364.0,0.5,186.0,939.0,1.4,,
2020-03-24,United Kingdom,1427,8077.0,1719.0,6593.0,,,,,148,512.0,0.8,237.0,1176.0,1.8,,
2020-03-25,United Kingdom,1452,9529.0,2085.0,8678.0,,,,,191,703.0,1.1,302.0,1478.0,2.2,,
2020-03-26,United Kingdom,2129,11658.0,1929.0,10607.0,,,,,181,884.0,1.3,360.0,1838.0,2.8,,
2020-03-27,United Kingdom,2890,14548.0,2225.0,12832.0,7264.0,,,,288,1172.0,1.8,399.0,2237.0,3.3,,
2020-03-28,United Kingdom,2556,17104.0,2191.0,15023.0,8275.0,,,,292,1464.0,2.2,436.0,2673.0,4.0,,
2020-03-29,United Kingdom,2502,19606.0,2490.0,17513.0,9522.0,,,,212,1676.0,2.5,507.0,3180.0,4.8,,
2020-03-30,United Kingdom,2665,22271.0,3190.0,20703.0,11090.0,,,,374,2050.0,3.1,585.0,3765.0,5.6,,
2020-03-31,United Kingdom,3250,25521.0,2833.0,23536.0,12595.0,,11896.0,155174.0,403,2453.0,3.7,661.0,4426.0,6.6,,
2020-04-01,United Kingdom,4567,30088.0,3565.0,27101.0,13635.0,,11947.0,167237.0,672,3125.0,4.7,767.0,5193.0,7.8,,
2020-04-02,United Kingdom,4522,34610.0,3283.0,30384.0,13873.0,1813.0,13623.0,182352.0,657,3782.0,5.7,805.0,5998.0,9.0,,
2020-04-03,United Kingdom,4672,39282.0,2930.0,33314.0,15545.0,2120.0,14629.0,223578.0,736,4518.0,6.8,839.0,6837.0,10.2,,
2020-04-04,United Kingdom,4000,43282.0,2921.0,36235.0,17500.0,2309.0,16080.0,239658.0,756,5274.0,7.9,905.0,7742.0,11.6,,
2020-04-05,United Kingdom,6199,49481.0,2915.0,39150.0,18852.0,2469.0,13238.0,252896.0,599,5873.0,8.8,914.0,8656.0,13.0,,
2020-04-06,United Kingdom,4143,53624.0,3046.0,42196.0,19490.0,2644.0,13775.0,267303.0,567,6440.0,9.6,892.0,9548.0,14.3,,
2020-04-07,United Kingdom,3888,57512.0,3150.0,45346.0,20231.0,2864.0,14423.0,281726.0,1105,7545.0,11.3,999.0,10547.0,15.8,,
2020-04-08,United Kingdom,5865,63377.0,2967.0,48313.0,20737.0,2967.0,16443.0,298169.0,1030,8575.0,12.8,1073.0,11620.0,17.4,,
2020-04-09,United Kingdom,4675,68052.0,2629.0,50942.0,21002.0,2963.0,19116.0,316836.0,1116,9691.0,14.5,998.0,12618.0,18.9,,
2020-04-10,United Kingdom,5706,73758.0,2463.0,53405.0,21277.0,3228.0,18091.0,334974.0,1122,10813.0,16.2,941.0,13559.0,20.3,,
2020-04-11,United Kingdom,5234,78991.0,2162.0,55567.0,21251.0,3274.0,18000.0,352974.0,843,11656.0,17.4,956.0,14515.0,21.7,,
2020-04-12,United Kingdom,5288,84279.0,2066.0,57633.0,21684.0,3301.0,14506.0,367667.0,657,12313.0,18.4,957.0,15472.0,23.2,,
2020-04-13,United Kingdom,4342,88621.0,2160.0,59793.0,21304.0,3277.0,14982.0,382650.0,724,13037.0,19.5,893.0,16365.0,24.5,,
2020-04-14,United Kingdom,5252,93873.0,2088.0,61881.0,21277.0,3234.0,15994.0,398916.0,1076,14113.0,21.1,859.0,17224.0,25.8,,
2020-04-15,United Kingdom,4605,98476.0,1880.0,63761.0,20578.0,3228.0,18665.0,417649.0,880,14993.0,22.4,879.0,18103.0,27.1,,
2020-04-16,United Kingdom,4618,103093.0,2011.0,65772.0,20385.0,3222.0,21328.0,438991.0,1036,16029.0,24.0,838.0,18941.0,28.4,,
2020-04-17,United Kingdom,5599,108692.0,1966.0,67738.0,19326.0,3162.0,21389.0,460437.0,913,16942.0,25.4,819.0,19760.0,29.6,,
2020-04-18,United Kingdom,5526,114217.0,1629.0,69367.0,19453.0,3247.0,21626.0,482063.0,1105,18047.0,27.0,799.0,20559.0,30.8,,
2020-04-19,United Kingdom,5850,120067.0,1657.0,71024.0,19570.0,3176.0,19316.0,501379.0,432,18479.0,27.7,765.0,21324.0,31.9,,
2020-04-20,United Kingdom,4676,124743.0,1737.0,72761.0,19327.0,3130.0,17970.0,537121.0,570,19049.0,28.5,783.0,22107.0,33.1,,
2020-04-21,United Kingdom,4301,129044.0,1713.0,74474.0,19136.0,3036.0,22814.0,559935.0,1224,20273.0,30.4,742.0,22849.0,34.2,,
2020-04-22,United Kingdom,4451,133495.0,1527.0,76001.0,18530.0,2964.0,23560.0,583496.0,847,21120.0,31.6,729.0,23578.0,35.3,,
2020-04-23,United Kingdom,4583,138078.0,1513.0,77514.0,17864.0,2867.0,28532.0,612031.0,682,21802.0,32.6,675.0,24253.0,36.3,,
2020-04-24,United Kingdom,5386,143464.0,1526.0,79040.0,17060.0,2703.0,28760.0,640792.0,1010,22812.0,34.2,683.0,24936.0,37.3,,
2020-04-25,United Kingdom,4913,148377.0,1254.0,80294.0,16601.0,2702.0,29058.0,669850.0,815,23627.0,35.4,646.0,25582.0,38.3,,
2020-04-26,United Kingdom,4463,152840.0,1355.0,81649.0,16552.0,2580.0,31610.0,701460.0,364,23991.0,35.9,633.0,26215.0,39.2,,
2020-04-27,United Kingdom,4310,157149.0,1538.0,83187.0,16658.0,2460.0,33287.0,734860.0,320,24311.0,36.4,595.0,26810.0,40.1,,
2020-04-28,United Kingdom,3996,161145.0,1518.0,84705.0,15873.0,2353.0,45505.0,780366.0,969,25280.0,37.8,560.0,27370.0,41.0,,
2020-04-29,United Kingdom,4076,165221.0,1488.0,86193.0,15517.0,2286.0,66793.0,849296.0,769,26049.0,39.0,570.0,27940.0,41.8,,
2020-04-30,United Kingdom,6032,171253.0,1443.0,87636.0,15160.0,2224.0,84215.0,933455.0,634,26683.0,39.9,551.0,28491.0,42.7,,
2020-05-01,United Kingdom,6201,177454.0,1263.0,88899.0,14719.0,2178.0,74893.0,1008348.0,698,27381.0,41.0,568.0,29059.0,43.5,,
2020-05-02,United Kingdom,4806,182260.0,1180.0,90079.0,14376.0,2068.0,63559.0,1071909.0,584,27965.0,41.9,493.0,29552.0,44.2,,
2020-05-03,United Kingdom,4339,186599.0,1187.0,91266.0,14184.0,2009.0,68817.0,1140726.0,253,28218.0,42.2,448.0,30000.0,44.9,,
2020-05-04,United Kingdom,3985,190584.0,1249.0,92515.0,14092.0,1936.0,73068.0,1220764.0,272,28490.0,42.7,484.0,30484.0,45.6,,
2020-05-05,United Kingdom,4406,194990.0,1146.0,93661.0,13718.0,1874.0,67444.0,1283443.0,726,29216.0,43.7,464.0,30948.0,46.3,,
2020-05-06,United Kingdom,6111,201101.0,1206.0,94867.0,13143.0,1802.0,74761.0,1360595.0,647,29863.0,44.7,461.0,31409.0,47.0,,
2020-05-07,United Kingdom,5614,206715.0,1165.0,96032.0,12622.0,1685.0,78912.0,1439506.0,458,30321.0,45.4,461.0,31870.0,47.7,,
2020-05-08,United Kingdom,4649,211364.0,910.0,96942.0,12049.0,1642.0,77892.0,1517402.0,579,30900.0,46.3,383.0,32253.0,48.3,,
2020-05-09,United Kingdom,3896,215260.0,943.0,97885.0,12017.0,1585.0,77202.0,1594604.0,275,31175.0,46.7,378.0,32631.0,48.9,,
2020-05-10,United Kingdom,3923,219183.0,915.0,98800.0,11723.0,1538.0,76942.0,1671546.0,217,31392.0,47.0,347.0,32978.0,49.4,,
2020-05-11,United Kingdom,3877,223060.0,1029.0,99829.0,11963.0,1485.0,70360.0,1741989.0,187,31579.0,47.3,308.0,33286.0,49.8,,
2020-05-12,United Kingdom,3403,226463.0,983.0,100812.0,11587.0,1414.0,74859.0,1816848.0,614,32193.0,48.2,320.0,33606.0,50.3,,
2020-05-13,United Kingdom,3242,229705.0,965.0,101777.0,11338.0,1342.0,83472.0,1901014.0,447,32640.0,48.9,316.0,33922.0,50.8,,
2020-05-14,United Kingdom,3446,233151.0,908.0,102685.0,10916.0,1314.0,85166.0,1986193.0,352,32992.0,49.4,333.0,34255.0,51.3,,
2020-05-15,United Kingdom,3560,236711.0,868.0,103553.0,10686.0,1337.0,93934.0,2082174.0,350,33342.0,49.9,312.0,34567.0,51.7,,
2020-05-16,United Kingdom,3451,240161.0,813.0,104366.0,10233.0,1234.0,93353.0,2175527.0,411,33753.0,50.5,313.0,34880.0,52.2,,
2020-05-17,United Kingdom,3562,243723.0,792.0,105158.0,10194.0,1196.0,82141.0,2257668.0,67,33820.0,50.6,266.0,35146.0,52.6,,
2020-05-18,United Kingdom,2684,246406.0,849.0,106007.0,10227.0,1141.0,72532.0,2330252.0,146,33966.0,50.8,293.0,35439.0,53.1,,
2020-05-19,United Kingdom,2412,248818.0,880.0,106887.0,10009.0,1106.0,88126.0,2410097.0,500,34466.0,51.6,275.0,35714.0,53.5,,
2020-05-20,United Kingdom,2472,248293.0,850.0,107737.0,9559.0,1034.0,87819.0,2497915.0,328,34794.0,52.1,267.0,35981.0,53.9,,
2020-05-21,United Kingdom,2615,250908.0,841.0,108578.0,9289.0,1008.0,107919.0,2605843.0,273,35067.0,52.5,237.0,36218.0,54.2,,
2020-05-22,United Kingdom,3287,254195.0,739.0,109317.0,9181.0,964.0,92143.0,2697987.0,291,35358.0,52.9,222.0,36440.0,54.6,,
2020-05-23,United Kingdom,2959,257154.0,643.0,109960.0,8811.0,928.0,92312.0,2790296.0,220,35578.0,53.3,217.0,36657.0,54.9,,
2020-05-24,United Kingdom,2409,259559.0,587.0,110547.0,8811.0,886.0,59633.0,2849932.0,379,35957.0,53.8,195.0,36852.0,55.2,,
2020-05-25,United Kingdom,1625,261184.0,602.0,111149.0,8833.0,863.0,78478.0,2998370.0,104,36061.0,54.0,201.0,37053.0,55.5,,
2020-05-26,United Kingdom,2004,265227.0,697.0,111846.0,8728.0,847.0,78099.0,3076645.0,131,36192.0,54.2,212.0,37265.0,55.8,,
2020-05-27,United Kingdom,2013,267240.0,711.0,112557.0,8215.0,783.0,83014.0,3159661.0,422,36614.0,54.8,197.0,37462.0,56.1,,
2020-05-28,United Kingdom,1887,269127.0,702.0,113259.0,7903.0,751.0,102734.0,3262396.0,343,36957.0,55.3,217.0,37679.0,56.4,,
2020-05-29,United Kingdom,2095,271222.0,615.0,113874.0,7583.0,719.0,106552.0,3368948.0,274,37231.0,55.7,186.0,37865.0,56.7,,
2020-05-30,United Kingdom,2445,272826.0,568.0,114442.0,7264.0,704.0,97387.0,3466338.0,154,37385.0,56.0,163.0,38028.0,56.9,,
2020-05-31,United Kingdom,1936,274762.0,528.0,114970.0,7234.0,679.0,105434.0,3638278.0,60,37445.0,56.1,126.0,38154.0,57.1,,
2020-06-01,United Kingdom,1570,276332.0,605.0,115575.0,7244.0,652.0,101571.0,3739808.0,86,37531.0,56.2,135.0,38289.0,57.3,,
2020-06-02,United Kingdom,1613,277985.0,668.0,116243.0,7082.0,636.0,129183.0,3869621.0,249,37780.0,56.6,169.0,38458.0,57.6,,
2020-06-03,United Kingdom,1871,279856.0,634.0,116877.0,6810.0,602.0,143443.0,4011931.0,254,38034.0,56.9,155.0,38613.0,57.8,,
2020-06-04,United Kingdom,1805,281661.0,565.0,117442.0,6571.0,571.0,144224.0,4157311.0,130,38164.0,57.1,135.0,38748.0,58.0,,
2020-06-05,United Kingdom,1650,283311.0,475.0,117917.0,6371.0,554.0,145009.0,4304282.0,258,38422.0,57.5,123.0,38871.0,58.2,,
2020-06-06,United Kingdom,1557,284868.0,406.0,118323.0,6141.0,540.0,117581.0,4422335.0,143,38565.0,57.7,111.0,38982.0,58.4,,
2020-06-07,United Kingdom,1326,286194.0,407.0,118730.0,5936.0,515.0,104122.0,4527480.0,54,38619.0,57.8,127.0,39109.0,58.5,,
2020-06-08,United Kingdom,1205,287399.0,412.0,119142.0,5924.0,509.0,98445.0,4662107.0,47,38666.0,57.9,123.0,39232.0,58.7,,
2020-06-09,United Kingdom,1387,289140.0,491.0,119633.0,5729.0,491.0,133102.0,4795468.0,195,38861.0,58.2,90.0,39322.0,58.9,,
2020-06-10,United Kingdom,1003,290143.0,511.0,120144.0,5469.0,439.0,145509.0,4941550.0,164,39025.0,58.4,109.0,39431.0,59.0,,
2020-06-11,United Kingdom,1266,291409.0,446.0,120590.0,5178.0,390.0,149344.0,5092695.0,76,39101.0,58.5,80.0,39511.0,59.2,,
2020-06-12,United Kingdom,1541,292950.0,392.0,120982.0,5088.0,393.0,147099.0,5241174.0,131,39232.0,58.7,79.0,39590.0,59.3,,
2020-06-13,United Kingdom,1425,294375.0,385.0,121367.0,4940.0,390.0,120409.0,5364875.0,107,39339.0,58.9,63.0,39653.0,59.4,,
2020-06-14,United Kingdom,1514,295889.0,364.0,121731.0,4907.0,393.0,83965.0,5449760.0,27,39366.0,58.9,87.0,39740.0,59.5,,
2020-06-15,United Kingdom,1056,296857.0,440.0,122171.0,4869.0,385.0,101337.0,5552801.0,29,39395.0,59.0,70.0,39810.0,59.6,,
2020-06-16,United Kingdom,1279,298136.0,455.0,122626.0,4862.0,378.0,122435.0,5675283.0,120,39515.0,59.2,84.0,39894.0,59.7,,
2020-06-17,United Kingdom,1115,299251.0,432.0,123058.0,4718.0,357.0,131631.0,5808862.0,110,39625.0,59.3,58.0,39952.0,59.8,,
2020-06-18,United Kingdom,1218,300469.0,403.0,123461.0,4559.0,352.0,135854.0,5948476.0,67,39692.0,59.4,61.0,40013.0,59.9,,
2020-06-19,United Kingdom,1346,301815.0,336.0,123797.0,4413.0,330.0,133535.0,6082480.0,84,39776.0,59.5,52.0,40065.0,60.0,,
2020-06-20,United Kingdom,1295,303110.0,257.0,124054.0,4251.0,346.0,117971.0,6201735.0,71,39847.0,59.7,60.0,40125.0,60.1,,
2020-06-21,United Kingdom,1221,304331.0,288.0,124342.0,4221.0,310.0,76514.0,6278432.0,31,39878.0,59.7,54.0,40179.0,60.2,,
2020-06-22,United Kingdom,958,305289.0,394.0,124736.0,4280.0,340.0,102957.0,6384549.0,14,39892.0,59.7,64.0,40243.0,60.2,,
2020-06-23,United Kingdom,874,306210.0,361.0,125097.0,4133.0,311.0,130680.0,6507342.0,94,39986.0,59.9,64.0,40307.0,60.3,,
2020-06-24,United Kingdom,653,306862.0,368.0,125465.0,4029.0,316.0,140303.0,6648415.0,87,40073.0,60.0,75.0,40382.0,60.5,,
2020-06-25,United Kingdom,1118,307980.0,324.0,125789.0,3849.0,276.0,155176.0,6847145.0,99,40172.0,60.1,68.0,40450.0,60.6,,
2020-06-26,United Kingdom,1006,309360.0,339.0,126128.0,3619.0,268.0,144928.0,6992073.0,79,40249.0,60.3,41.0,40491.0,60.6,,
2020-06-27,United Kingdom,890,310250.0,287.0,126415.0,3543.0,270.0,117741.0,7109814.0,40,40289.0,60.3,49.0,40540.0,60.7,,
